,Site,Col_company,Col_Recruit,Col_detail,Col_url
25,Saramin,(주)메디젠휴먼케어,메디젠휴먼케어 데이터분석 담당 경력직 채용,서울 송파구 경력3년↑ 석사↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50209112&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
26,Saramin,㈜이씨마이너,연구소 빅데이터분석/AI솔루션개발자/ Visual C++ 개발자 모집,"서울 강남구 경력무관 대졸↑ 정규직 3,500 만원",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50293575&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
27,Saramin,(주)씨티아이랩,"데이터분석:AI 모델 개발자(신입 및 경력 3년이상, 영어능통자)",경기 성남시 수정구 신입·경력 대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49863955&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
28,Saramin,(주)케이아이오티,이미지 데이터분석 & 데이터셋 구축(경력무관),대구 북구 경력무관 초대졸↑ 정규직·계약직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50196781&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
29,Saramin,(주)한국신용데이터,[데이터분석팀] Data Analyst,서울 강남구 경력 3~7년 학력무관 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50226176&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
30,Saramin,(주)싸이트플래닝건축사사무소,"도시공학& 데이터분석 공고 모집  (정규직, 경력직)",부산 동구 경력3년↑ 대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50263018&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
31,Saramin,(주)메디플렉서스,헬스케어데이터분석 솔루션 영업직채용,서울 마포구 경력1년↑ 대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50197739&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
32,Saramin,HR컨설팅(주),유통대기업 데이터분석가 책임 8-12년,서울 강남구 경력 4~20년 대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50334981&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
33,Saramin,(주)스카우트파트너스,온라인 CRM마케팅 (자동화.데이터분석.SQL) 대기업,서울 강남구 경력 4~10년 대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50311895&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
34,Saramin,유카시스템(주),[데이터분석] 운전자 운전성향분석 빅데이터 관리 및 분,경기 고양시 덕양구 경력2년↑ 초대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49997465&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
35,Saramin,아일리스프런티어(주),연구분석실 인공지능팀 (자연어처리/빅데이터분석) 채용,서울 종로구 경력 1~3년 학력무관 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50139936&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
36,Saramin,(주)유니코써치,[유명 플랫폼기업] 데이터분석팀 Data Analyst,서울 강남구 경력 5~11년 대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50364752&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
37,Saramin,(주)아이트럭,IMC마케팅팀장(퍼포먼스마케터 및 데이터분석가),서울 서초구 경력 7~12년 대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49844892&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
38,Saramin,주식회사 세계입찰,데이터분석가 경력(5~7년) 채용,경기 부천시 경력 5~7년 초대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50304644&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
39,Saramin,주식회사 세계입찰,데이터분석가 경력(8~10년) 채용,경기 부천시 경력 8~10년 초대졸↑ 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50304650&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a39c0959-db46-42ab-9029-fb848ee40489
